Compiler,N,Threads_per_block,total_cells_per_us
./runcuda,64,32,2.658959
./runcuda,64,64,2.698914
./runcuda,64,128,2.680535
./runcuda,64,256,2.664686
./runcuda,64,512,2.682213
./runcuda,64,1024,2.888911
./runcuda,128,32,10.649448
./runcuda,128,64,10.932069
./runcuda,128,128,10.437575
./runcuda,128,256,10.377
./runcuda,128,512,10.422772
./runcuda,128,1024,10.839763
./runcuda,256,32,42.297489
./runcuda,256,64,41.4901
./runcuda,256,128,41.127749
./runcuda,256,256,41.123704
./runcuda,256,512,41.567405
./runcuda,256,1024,41.787638
./runcuda,512,32,104.522314
./runcuda,512,64,117.677867
./runcuda,512,128,115.910847
./runcuda,512,256,117.95859
./runcuda,512,512,119.700423
./runcuda,512,1024,112.281753
./runcuda,1024,32,130.922451
./runcuda,1024,64,131.910819
./runcuda,1024,128,132.714742
./runcuda,1024,256,132.932638
./runcuda,1024,512,132.151698
./runcuda,1024,1024,131.059389
./runcuda,2048,32,144.585701
./runcuda,2048,64,146.045042
./runcuda,2048,128,147.00393
./runcuda,2048,256,145.906861
./runcuda,2048,512,146.132814
./runcuda,2048,1024,145.740388
./runcuda,4096,32,148.60258
./runcuda,4096,64,149.869171
./runcuda,4096,128,150.113819
./runcuda,4096,256,150.06229
./runcuda,4096,512,149.774092
./runcuda,4096,1024,149.24725
./runcuda,8192,32,148.89933
./runcuda,8192,64,151.715591
./runcuda,8192,128,150.83893
./runcuda,8192,256,151.187632
./runcuda,8192,512,151.039229
./runcuda,8192,1024,150.424282
./runcuda,16384,32,25.647642
./runcuda,16384,64,28.758693
./runcuda,16384,128,29.729879
./runcuda,16384,256,30.276965
./runcuda,16384,512,22.619561
./runcuda,16384,1024,29.451341
