Compiler,N,Threads_per_block,total_cells_per_us
./runcuda,64,32,13.122712
./runcuda,64,64,13.452122
./runcuda,64,128,13.336709
./runcuda,64,256,13.51102
./runcuda,64,512,13.111081
./runcuda,64,1024,12.366901
./runcuda,128,32,47.914175
./runcuda,128,64,48.658769
./runcuda,128,128,49.129452
./runcuda,128,256,50.154612
./runcuda,128,512,48.965821
./runcuda,128,1024,46.572761
./runcuda,256,32,142.539057
./runcuda,256,64,139.540993
./runcuda,256,128,154.802279
./runcuda,256,256,152.610347
./runcuda,256,512,152.605149
./runcuda,256,1024,149.860803
./runcuda,512,32,288.304663
./runcuda,512,64,338.523036
./runcuda,512,128,292.361151
./runcuda,512,256,288.030173
./runcuda,512,512,317.263469
./runcuda,512,1024,267.088686
./runcuda,1024,32,398.931034
./runcuda,1024,64,454.473664
./runcuda,1024,128,510.917073
./runcuda,1024,256,428.746565
./runcuda,1024,512,417.292557
./runcuda,1024,1024,441.848807
./runcuda,2048,32,481.177682
./runcuda,2048,64,579.860278
./runcuda,2048,128,574.99684
./runcuda,2048,256,500.384555
./runcuda,2048,512,577.230845
./runcuda,2048,1024,552.864342
./runcuda,4096,32,447.23859
./runcuda,4096,64,542.150132
./runcuda,4096,128,523.235689
./runcuda,4096,256,451.485892
./runcuda,4096,512,449.881869
./runcuda,4096,1024,497.247265
./runcuda,8192,32,485.690801
./runcuda,8192,64,629.533108
./runcuda,8192,128,632.998526
./runcuda,8192,256,540.188687
./runcuda,8192,512,620.514826
./runcuda,8192,1024,603.168368
./runcuda,16384,32,339.022078
./runcuda,16384,64,496.577856
./runcuda,16384,128,509.876215
./runcuda,16384,256,560.0822
./runcuda,16384,512,558.455464
./runcuda,16384,1024,526.266602
